Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
Lucas Heights 2 LFG Power Station,,NSW1,,,,13,13,,1.15,11-Jan,EDL LFG (NSW) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,N,LUCAS2S2,-34.048146,150.973882
William Hovell Hydro Power Station,,VIC1,,,,2,2,0,1.5,1,Pacific Hydro Investments Pty Ltd,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,N,WILLHOV1,-36.913177,146.391572
Mugga Lane Solar Park,,NSW1,,,,12,12,,12.85,1,Mugga Lane Solar Park Pty Ltd,Generator,Market,Non-Scheduled,Solar,Solar PV,Renewable,Photovoltaic Flat Panel,N,MLSP,-35.3988,149.146053
Eastern Creek Power Station,,NSW1,,,,5,5.4,,1.35,4-Jan,EDL LFG (NSW) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,N,EASTCRK,-33.814157,150.853702
Longford Plant,,VIC1,,,,44.8,44,,"10.2, 7, 2.5, 2.6, 6.5","1, 2-3, 4-5, 6, 7-8",Origin Energy Electricity Limited,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,LONGFORD,-38.164,147.087
Corio Landfill Gas Power Station,,VIC1,,,,1,1,0,1,1,EDL LFG (VIC) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,CORIO1,-38.05865888,144.4055757
"Torrens Island Power Station ""A""",,SA1,2021-09-29T14:00:00+0000,,,120,120,20,120,1,AGL SA Generation Pty Limited,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,N,TORRA1,-34.806844,138.521322
Broadmeadows Landfill Gas Power Station,,VIC1,,,,5,5,,1,5-Jan,EDL LFG (Vic) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,BROADMDW,-37.687786,144.966319
Eildon Pondage Hydro Power Station,,VIC1,,,,5,5,0,4.5,3,Pacific Hydro Investments Pty Ltd,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,N,EILDON3,-37.222005,145.921452
Terminal Storage Mini Hydro Power Station,,SA1,,,,2,2.5,,2.5,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,TERMSTOR,-34.839323,138.711226
Western Suburbs League Club (Campbelltown) Plant,,NSW1,,,,1,1,,1,1,EnerNOC Pty Ltd,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,N,WESTCBT1,-34.051326,150.83286
Whitwood Road Renewable Energy Facility,,QLD1,,,,1,1,,1.1,1,Origin Energy Electricity Limited,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,N,WHIT1,-27.659014,152.823743
Moranbah Generation Project,,QLD1,,,,13,12.56,,1.57,8-Jan,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,N,MORANBAH,-21.98513021,148.0246472
Wilga Park A Power Station,,NSW1,,,,10,10,,1.67 (average),6,SANTOS NSW (NARRABRI POWER) PTY LTD,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,N,WILGAPK,-30.363437,149.677153
Oaky Creek  Power Station,,QLD1,,,,20,20,,"1.037, 3","1-14, 15-16",Origin Energy Electricity Limited,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,Y,OAKYCREK,-22.987776,148.581702
Kincumber Landfill Site,,NSW1,,,,1,1.064,,1.064,1,AGL Hydro Partnership,Generator,Market,Non-Scheduled,"Landfill, Biogas","Landfill, Biogas",Renewable,"Landfill, Biogas",N,KINCUM1,-33.477324,151.402636
Browns Plains Land Fill Gas Power Station,,QLD1,,,,2.18,2.18,,1.9,2-Jan,EDL LFG (Qld) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,BPLANDF1,-27.672131,153.066346
Midlands Power Station,,TAS1,,,,7,6,0,6,1,Tasmanian Irrigation Pty Ltd,Generator,Non-Market,Non-Scheduled,Hydro,Hydro,Renewable,Hydro - Gravity,N,MIDLDPS1,-42.11423,147.30917
Daandine Power Station,,QLD1,,,,33,33,,3,11-Jan,Arrow Energy Trading Pty Ltd,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,N,DAANDINE,-27.08631997,150.9430055
Wonthaggi Wind Farm,,VIC1,,,,12,12,,2,6-Jan,Progressive Green Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,WONWP,-38.603736,145.546167
Suncoast Gold Macadamias,,QLD1,,,,1,1.5,,1.5,1,AGL Hydro Partnership,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Macadamia Nut Shells,Combustion,Steam Sub-Critical,N,SUNCOAST,-26.226125,152.698102
Coonooer Bridge Wind Farm,,VIC1,,,,20,20,,19.8,1,Coonooer Bridge Wind Farm Pty tld,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,CBWF1,-36.436,143.362
Hepburn Wind Farm,,VIC1,,,,4.1,4.1,,2.05,2-Jan,Mt Mercer Windfarm Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,N,HEPWIND1,-37.425,144.12
Wyangala B Power Station,,NSW1,,,,4,4,,4,1,Hydro Power Pty Limited,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,WYANGALB,-33.980989,148.947306
Liddell Power Station,,NSW1,2022-04-01T14:00:00+0000,,,550,500,110,500,3,AGL Macquarie Pty Limited,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,N,LD03,-32.371267,150.97757
Wyndham Waste Disposal Facility,,VIC1,,,,1,1,,1,1,EnergyAustralia Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,N,WYNDW,-37.937488,144.590179
Wingfield 1 Landfill Gas Power Station Units 1-4,,SA1,,,,5,5,0,1.03,4-Jan,EDL LFG (SA) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,WING1_1,-34.832081,138.548903
Springvale Landfill Gas Power Station,,VIC1,,,,4.2,4.2,0,1.05,4-Jan,EDL LFG (VIC) Pty Ltd,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,N,SVALE1,-37.973297,145.139635
Toora Wind Farm,,VIC1,,,,21,21,,1.75,12-Jan,Toora Wind Farm Pty Ltd,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Y,TOORAWF,-38.64506,146.344132
