Station Name,Current Output (MW),Region,Most Recent Output Time (AEST),Current % of Max Cap,Current % of Reg Cap,Max Cap (MW),Reg Cap (MW),Max ROC/Min,Unit Size (MW),Physical Unit No.,Participant,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Lat,Lon
Port Lincoln Gas Turbine,0,SA1,2022-07-01T11:05:00+0000,0,0,23,23.5,5,23.5,3,Synergen Power Pty Limited,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),N,POR03,-34.70019,135.804728
Pelican Point Power Station,245.36026,SA1,2022-07-01T11:05:00+0000,48.11,51.33,510,478,20,"160, 158","1-2, 3",Pelican Point Power Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),Y,PPCCGT,-34.764972,138.505325
Wivenhoe Power Station No. 1 Pump,0,QLD1,2022-07-01T11:05:00+0000,0,0,245,240,49,240,1,CS Energy Limited,Load Norm Off,Market,Scheduled,Hydro,,,,N,PUMP1,-27.372221,152.632028
Wivenhoe Power Station No. 2 Pump,0,QLD1,2022-07-01T11:05:00+0000,0,0,245,240,49,240,2,CS Energy Limited,Load Norm Off,Market,Scheduled,,,,,N,PUMP2,-27.372221,152.632028
Quarantine Power Station,0,SA1,2022-07-01T11:05:00+0000,0,0,25,24,5,24,1,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,QPS1,-34.779284,138.522352
Quarantine Power Station,0,SA1,2022-07-01T11:05:00+0000,0,0,25,24,5,24,2,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,QPS2,-34.779284,138.522352
Quarantine Power Station,0,SA1,2022-07-01T11:05:00+0000,0,0,25,24,5,24,3,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,QPS3,-34.779284,138.522352
Quarantine Power Station,0,SA1,2022-07-01T11:05:00+0000,0,0,25,24,5,24,4,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,QPS4,-34.779284,138.522352
Quarantine Power Station,0,SA1,2022-07-01T11:05:00+0000,0,0,128,128,26,128,5,Origin Energy Electricity Limited,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),N,QPS5,-34.779284,138.522352
Reece Power Station,100.17274,TAS1,2022-07-01T11:05:00+0000,84.18,86.65,119,115.6,40,115.6,1,Hydro-Electric Corporation trading as Hydro Tasmania,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,N,REECE1,-41.72377,145.135948
